,_p,_v,_t
556,70.11,0.91224,1589249308383
557,70.09,2.48315,1589249308564
558,70.09,0.16509,1589249309740
559,70.11,1.65224,1589249318006
560,70.11,40.15,1589249318060
561,70.11,40.14959,1589249322503
562,70.11,0.00041,1589249322512
563,70.09,0.348,1589249323265
564,70.09,31.96354,1589249323510
565,70.06,3.00001,1589249323618
566,70.08,2.46205,1589249323633
567,70.1,37.68795,1589249323633
568,70.09,3.18947,1589249324460
569,70.1,17.56563,1589249327640
570,70.1,6.31074,1589249327653
571,70.1,16.27363,1589249327671
572,70.04,0.5,1589249327719
573,70.03,9.91008,1589249332111
574,70.03,3.5203,1589249332128
575,70.03,0.165,1589249333955
576,70.03,28.53118,1589249341039
577,70.03,1.9136,1589249341073
578,70.02,7.52813,1589249342509
579,70.02,4.07774,1589249342528
580,70.02,3.56802,1589249342548
581,70.02,21.29302,1589249342560
582,70.02,3.68309,1589249342563
583,70.0,0.97276,1589249342573
584,69.99,2.83874,1589249342573
585,70.04,3.28589,1589249346278
586,70.04,0.1764,1589249349386
587,70.06,1.825,1589249401001
588,70.06,1.825,1589249401002
589,70.06,7.0987,1589249401019
590,70.06,1.825,1589249401021
591,70.06,3e-05,1589249401031
592,70.08,1.53127,1589249401031
593,70.08,0.495,1589249401048
594,70.11,2.39708,1589249401382
595,70.11,2.39707,1589249401449
596,70.11,4.60863,1589249401525
597,70.12,3.099,1589249401525
598,70.13,13.69305,1589249401674
599,70.13,1.95615,1589249401706
600,70.15,11.91686,1589249401758
601,70.16,8.20991,1589249402723
602,70.06,0.5,1589249438057
603,70.16,8.6431,1589249466085
604,70.18,14.22427,1589249502346
605,70.18,0.00015,1589249502359
606,70.27,1.64885,1589249530937
607,70.28,22.27969,1589249530937
608,70.28,17.86031,1589249531053
609,70.29,7.0,1589249540256
610,70.28,2.47361,1589249568172
611,70.28,1.825,1589249568183
612,70.28,0.4264,1589249568197
613,70.28,1.3986,1589249569187
614,70.28,0.42639,1589249572361
615,70.21,0.5,1589249607114
616,70.21,1.825,1589249607136
617,70.21,5.475,1589249607150
