,_p,_v,_t
682,6.966,18.06,1589069125022
683,6.9659,100.0,1589069125022
684,6.9661,32.85,1589069125047
685,6.9618,5.0,1589069125176
686,6.9621,25.0,1589069125288
687,6.9695,30.33,1589069126068
688,6.9686,13.84,1589069127357
689,6.9698,40.0,1589069127848
690,6.9707,7.5,1589069128130
691,6.9706,100.0,1589069128130
692,6.9703,10.64,1589069128130
693,6.97,27.36,1589069128192
694,6.9695,15.91,1589069128192
695,6.9694,31.0,1589069128192
696,6.9681,20.73,1589069128192
697,6.9648,40.0,1589069128231
698,6.9629,15.0,1589069128336
699,6.9649,15.45,1589069128876
700,6.9649,84.55,1589069128897
701,6.9627,100.0,1589069128979
702,6.9644,7.5,1589069129323
703,6.9666,7.5,1589069129821
704,6.9642,24.15,1589069130184
705,6.9642,129.05,1589069130254
706,6.9597,2.15,1589069130556
707,6.9591,32.85,1589069130556
708,6.9591,27.11,1589069130592
709,6.9591,2.89,1589069130594
710,6.9603,36.52,1589069130628
711,6.9604,36.52,1589069130787
712,6.9591,15.2,1589069130895
713,6.9604,100.0,1589069131350
714,6.9607,69.75,1589069131350
715,6.9604,11.68,1589069131393
716,6.959,5.15,1589069131523
717,6.9608,57.62,1589069131632
718,6.9591,5.92,1589069131706
719,6.959,192.82,1589069131706
720,6.9568,56.55,1589069131706
721,6.9567,7.5,1589069131706
722,6.9566,26.8,1589069131706
723,6.9531,70.0,1589069131706
724,6.953,70.0,1589069131706
725,6.953,579.4,1589069131727
726,6.953,808.28,1589069131728
727,6.959,3.74,1589069131913
728,6.9591,2.87,1589069131946
729,6.9555,112.0,1589069132206
730,6.9619,79.2,1589069133651
731,6.9609,45.77,1589069134414
732,6.9602,10.0,1589069135254
733,6.9602,160.34,1589069135318
734,6.9569,55.0,1589069135401
735,6.9566,3.53,1589069135479
736,6.9533,55.5,1589069135479
737,6.9532,7.5,1589069135479
738,6.9531,10.37,1589069135479
739,6.9531,11.11,1589069135495
740,6.9528,13.89,1589069135495
741,6.9575,7.7,1589069135688
742,6.9554,15.38,1589069136431
743,6.9556,30.0,1589069136984
744,6.9556,24.14,1589069137016
745,6.9559,17.66,1589069137016
746,6.9559,15.38,1589069137169
747,6.9561,107.5,1589069137480
748,6.9562,41.8,1589069137510
749,6.9588,162.36,1589069137549
750,6.9589,7.5,1589069137822
751,6.9609,12.31,1589069138217
752,6.9608,22.2,1589069138454
753,6.9611,5.74,1589069138596
754,6.9632,2.87,1589069138620
755,6.9633,166.34,1589069139012
756,6.967,3.97,1589069139484
757,6.967,3.97,1589069139507
758,6.967,66.32,1589069139536
759,6.9671,3.97,1589069139627
760,6.9672,8.62,1589069139710
761,6.9678,161.0,1589069139745
762,6.9703,32.85,1589069139745
763,6.9661,64.25,1589069140033
764,6.9661,25.94,1589069140045
765,6.9661,76.15,1589069140049
766,6.9693,30.56,1589069140771
767,6.9692,6.28,1589069140771
768,6.9692,24.41,1589069140783
769,6.9693,4.0,1589069141153
770,6.9727,34.84,1589069141308
771,6.9697,27.72,1589069141584
772,6.9716,50.0,1589069141918
773,6.9716,6.55,1589069141967
774,6.9697,20.94,1589069141999
775,6.9728,4.63,1589069143047
776,6.9728,5.19,1589069143367
777,6.9728,52.18,1589069143607
778,6.9701,300.67,1589069144638
779,6.9734,145.85,1589069145156
780,6.9756,75.42,1589069145213
781,6.9757,24.58,1589069145213
782,6.9694,2.16,1589069145620
783,6.9692,156.1,1589069145620
784,6.9692,170.29,1589069145814
785,6.9692,82.83,1589069145901
786,6.9692,72.96,1589069145926
787,6.9692,57.5,1589069146017
788,6.9692,18.43,1589069146065
789,6.9669,51.42,1589069146556
790,6.9669,7.23,1589069146566
791,6.9687,160.0,1589069147745
792,6.9686,7.67,1589069147806
793,6.974,18.23,1589069148385
794,6.9694,40.0,1589069148439
795,6.974,500.0,1589069149042
796,6.9741,1.68,1589069149122
797,6.9742,25.0,1589069149713
798,6.9742,25.0,1589069149717
799,6.9742,10.09,1589069149728
800,6.9742,3.0,1589069149785
801,6.9742,22.0,1589069150654
802,6.9729,13.83,1589069150901
803,6.9751,20.0,1589069151142
804,6.9751,41.34,1589069151170
805,6.9734,14.26,1589069152703
806,6.9726,25.0,1589069152775
807,6.9726,69.86,1589069152780
808,6.9711,58.19,1589069152819
809,6.9756,76.49,1589069152988
810,6.9757,23.51,1589069152988
811,6.9685,7.5,1589069153173
812,6.9648,7.5,1589069153173
813,6.965,3.89,1589069153460
814,6.9646,38.3,1589069154121
815,6.9646,16.76,1589069154141
816,6.9646,251.34,1589069154246
817,6.9651,5.56,1589069154379
818,6.9621,58.98,1589069154423
819,6.9634,86.71,1589069154473
820,6.9649,7.5,1589069154616
821,6.9649,24.73,1589069154630
822,6.965,7.5,1589069154733
823,6.969,7.5,1589069155319
824,6.9703,45.38,1589069155954
825,6.967,82.46,1589069155954
826,6.9669,22.16,1589069155954
827,6.9736,85.8,1589069156815
828,6.9754,75.0,1589069160519
